ID,Latitude,Longitude,Date,ECOSTRESS_Tile,ECO_L4T_ESI_002_ESI,ECO_L4T_ESI_002_PET
sultanpur,26.305,83.079,2025-11-19 09:21:10 UTC,44RPQ,0.7661442,118.6653671
sultanpur,26.305,83.079,2025-11-27 06:14:51 UTC,44RPQ,0.7771698,263.8543396
sultanpur,26.305,83.079,2025-12-01 04:40:44 UTC,44RPQ,0.7684759,200.9855804
sultanpur,26.305,83.079,2025-12-08 10:32:21 UTC,44RPQ,0.7493477,0.4927263
sultanpur,26.305,83.079,2026-01-21 08:11:35 UTC,44RPQ,0.7799327,236.1219788
sultanpur,26.305,83.079,2026-01-29 05:08:36 UTC,44RPQ,0.9199746,249.0603485
sultanpur,26.305,83.079,2026-02-02 03:38:33 UTC,44RPQ,0.8658838,93.8281708
sultanpur,26.305,83.079,2026-02-09 09:36:07 UTC,44RPQ,0.4561231,200.4454041
sultanpur,26.305,83.079,2026-02-17 06:33:00 UTC,44RPQ,0.3352247,322.8194275
sultanpur,26.305,83.079,2026-02-25 03:32:32 UTC,44RPQ,0.3218987,133.1727905
sultanpur,26.305,83.079,2026-04-03 04:07:49 UTC,44RPQ,0.2180278,371.818634
sultanpur,26.305,83.079,2026-04-14 08:30:16 UTC,44RPQ,0.2156339,405.7623596
sultanpur,26.305,83.079,2026-04-22 05:25:06 UTC,44RPQ,0.2093087,494.5430298
sultanpur,26.305,83.079,2026-04-26 03:52:48 UTC,44RPQ,0.210188,332.598877
sultanpur,26.305,83.079,2026-05-17 10:18:35 UTC,44RPQ,0.2439435,271.8648682
sultanpur,26.305,83.079,2026-05-21 08:44:07 UTC,44RPQ,0.23331,397.3086243
sultanpur,26.305,83.079,2026-05-25 07:09:55 UTC,44RPQ,0.2321822,444.2833862
sultanpur,26.305,83.079,2026-06-05 03:13:41 UTC,44RPQ,0.3860428,169.2082367
sultanpur,26.305,83.079,2026-06-08 10:37:35 UTC,44RPQ,0.4958044,278.7446289
sultanpur,26.305,83.079,2026-06-09 01:38:18 UTC,44RPQ,0.4180461,147.2310333
sultanpur,26.305,83.079,2026-06-16 07:29:13 UTC,44RPQ,0.6009492,585.7477417
sultanpur,26.305,83.079,2026-06-24 04:20:49 UTC,44RPQ,0.2882155,458.6512451
sultanpur,26.305,83.079,2025-11-19 09:21:10 UTC,44RQQ,0.7561548,119.1816864
sultanpur,26.305,83.079,2025-11-27 06:14:51 UTC,44RQQ,0.7812479,250.5993958
sultanpur,26.305,83.079,2025-12-01 04:40:44 UTC,44RQQ,0.7618049,202.3266907
sultanpur,26.305,83.079,2025-12-08 10:32:21 UTC,44RQQ,0.7410744,3.5197465
sultanpur,26.305,83.079,2026-01-21 08:11:35 UTC,44RQQ,0.9038928,262.3504028
sultanpur,26.305,83.079,2026-01-29 05:08:36 UTC,44RQQ,0.9146747,250.5864258
sultanpur,26.305,83.079,2026-02-02 03:38:33 UTC,44RQQ,0.6622234,88.319603
sultanpur,26.305,83.079,2026-02-09 09:36:07 UTC,44RQQ,0.5885051,204.274292
sultanpur,26.305,83.079,2026-02-17 06:33:00 UTC,44RQQ,0.3818886,313.2223206
sultanpur,26.305,83.079,2026-02-25 03:32:32 UTC,44RQQ,0.3109623,136.9725647
sultanpur,26.305,83.079,2026-04-14 08:30:16 UTC,44RQQ,0.2133047,410.4269714
sultanpur,26.305,83.079,2026-04-22 05:25:06 UTC,44RQQ,0.2070983,502.9197083
sultanpur,26.305,83.079,2026-04-26 03:52:48 UTC,44RQQ,0.2100611,331.0612793
sultanpur,26.305,83.079,2026-05-17 10:18:35 UTC,44RQQ,0.24788,271.3724976
sultanpur,26.305,83.079,2026-05-21 08:44:07 UTC,44RQQ,0.231781,405.0183716
sultanpur,26.305,83.079,2026-05-25 07:09:55 UTC,44RQQ,0.2232158,463.3070984
sultanpur,26.305,83.079,2026-06-05 03:13:41 UTC,44RQQ,0.3774918,171.8305664
sultanpur,26.305,83.079,2026-06-08 10:37:35 UTC,44RQQ,0.517571,283.3016968
sultanpur,26.305,83.079,2026-06-09 01:38:18 UTC,44RQQ,0.4872675,155.7421722
sultanpur,26.305,83.079,2026-06-16 07:29:13 UTC,44RQQ,0.5992213,585.4716797
sultanpur,26.305,83.079,2026-06-24 04:20:49 UTC,44RQQ,0.2805899,464.4784546
