scene_id,date,dekad,pid,VV_dn,VH_dn
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,0,98.56,45.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,1,75.0,61.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,2,134.56,68.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,3,90.89,47.56
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,4,171.11,86.33
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,5,146.67,81.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,6,156.11,72.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,7,188.89,77.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,8,124.0,65.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,9,196.11,103.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,10,158.22,58.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,11,127.89,68.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,12,117.11,75.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,13,95.78,60.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,14,125.89,94.22
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,15,105.44,64.67
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,16,111.11,65.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,17,141.0,60.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,18,198.67,89.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,19,131.78,41.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,20,131.0,69.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,21,88.44,72.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,22,76.56,63.0
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,23,155.11,79.89
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,24,139.22,71.44
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,25,170.78,104.11
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,26,116.44,49.78
S1A_IW_GRDH_1SDV_20230201T182300_20230201T182325_047046_05A4B2,2023-02-01,2,27,145.89,56.11
